"cpg","estimate","se","p.value"
"cg18033092","-0.00055886","9.06e-05",1e-09
"cg18052274","0.00042131","0.00011957",0.000444
"cg18076767","-0.00025141","7.69e-05",0.00111
"cg18076842","0.00033877","9.93e-05",0.000674
"cg18100662","-0.00021551","7.74e-05",0.00548
"cg18108946","-0.00033675","0.00010584",0.00151
"cg18118249","-0.00016924","3.74e-05",6.81e-06
"cg18145189","-0.000115","4e-05",0.00408
"cg18159802","-0.00020338","5.78e-05",0.000449
"cg18159819","-0.00029932","4.54e-05",6.66e-11
"cg18168310","0.00038117","0.00014047",0.00677
"cg18170454","-0.0003195","5.66e-05",2.15e-08
"cg18219522","-0.00041966","0.00012727",0.00101
"cg18220639","-0.00012604","4.12e-05",0.00226
"cg18221021","-0.00012084","3.72e-05",0.00119
"cg18224153","-0.00010862","3.1e-05",0.000477
"cg18226915","-0.00023776","8.63e-05",0.00595
"cg18229767","-0.00031077","7.45e-05",3.28e-05
"cg18231614","0.00031216","7.92e-05",8.71e-05
"cg18242131","-7.6e-05","2.31e-05",0.00104
"cg18247119","0.00029565","0.00010862",0.0066
"cg18255663","-0.00025284","6.29e-05",6.23e-05
"cg18259535","-0.00054886","8.3e-05",5.89e-11
"cg18263591","-0.00022471","6.16e-05",0.00028
"cg18268363","0.00034049","0.00010017",0.000701
"cg18281842","-0.00039308","9.24e-05",2.3e-05
"cg18282388","-0.0009791","0.00014737",4.89e-11
"cg18283361","-0.00020893","5.83e-05",0.000355
"cg18298997","-0.00010344","3.12e-05",0.000956
"cg18316030","0.0003009","8.43e-05",0.000375
"cg18318307","-0.0001183","4.14e-05",0.0044
"cg18340983","-0.00019099","5.79e-05",0.001
"cg18369257","-7.66e-05","2.61e-05",0.0034
"cg18392783","-8.2e-05","2.98e-05",0.00611
"cg18395636","-0.0001665","5.73e-05",0.00374
"cg18395917","-0.0001079","3.53e-05",0.0023
"cg18410078","-0.00013035","4.7e-05",0.0056
"cg18411237","-8.95e-05","2.72e-05",0.00105
"cg18445438","-0.00123036","0.00012193",6.47e-23
"cg18450293","-0.00012788","3.95e-05",0.00126
"cg18456140","-7.21e-05","2.46e-05",0.00345
"cg18470144","-0.00028305","4.99e-05",1.82e-08
"cg18474180","-0.0004444","0.00010155",1.33e-05
"cg18493761","0.00082401","0.00020268",5.15e-05
"cg18496140","-0.00019234","6.78e-05",0.00463
"cg18503234","-0.00102243","0.00011598",4.87e-18
"cg18504190","-0.00031609","9.03e-05",0.000485
"cg18512352","-0.00030587","0.00011368",0.00725
"cg18518074","0.00083018","0.00011938",6.23e-12
"cg18519694","-0.00016491","5.58e-05",0.0032
"cg18520238","-0.002521","0.00021145",8.05e-31
"cg18527537","-7.65e-05","2.79e-05",0.00616
"cg18529243","-0.00016184","5.88e-05",0.00604
"cg18531204","-0.00018878","5.54e-05",0.000686
"cg18550498","-9.45e-05","2.54e-05",0.000213
"cg18568067","-0.00019212","5.7e-05",0.000773
"cg18568653","-0.00010333","3.18e-05",0.00121
"cg18577829","0.00040578","0.00011284",0.000338
"cg18578096","0.00051161","0.00010972",3.52e-06
"cg18585693","0.00020882","6.92e-05",0.00262
"cg18587063","-0.00051532","0.00013308",0.000114
"cg18678353","-9.58e-05","3.48e-05",0.00602
"cg18705039","-0.00020191","6.63e-05",0.00237
"cg18716210","0.00079777","0.00010094",6.81e-15
"cg18723409","-0.00042572","0.00012761",0.000879
"cg18728264","0.00046376","8.94e-05",2.56e-07
"cg18732172","-0.00026187","5.86e-05",8.67e-06
"cg18768414","-9.01e-05","3.36e-05",0.00746
"cg18768582","0.00040881","0.00010154",6.08e-05
"cg18769818","-0.0002413","4.77e-05",5.11e-07
"cg18770763","0.00072807","0.0001315",3.9e-08
"cg18789929","0.00031635","8.75e-05",0.000316
"cg18806923","0.00027313","7.19e-05",0.000155
"cg18817246","-0.00017067","6.19e-05",0.00595
"cg18818531","-0.00062736","9.21e-05",1.6e-11
"cg18825531","-0.00037309","0.00012006",0.00194
"cg18858669","-0.00018693","6.49e-05",0.00403
"cg18873674","-0.0002044","6.03e-05",0.000731
"cg18879828","0.00020205","7.15e-05",0.00483
"cg18881978","-0.00012634","4.5e-05",0.0051
"cg18900959","-0.00016774","5.11e-05",0.00107
"cg18905668","-0.00033154","0.00011474",0.00394
"cg18908017","-0.00035994","7.82e-05",4.73e-06
"cg18916019","-0.0003491","0.00012337",0.00475
"cg18920616","-6.22e-05","1.98e-05",0.00173
"cg18935353","-0.00029909","5.29e-05",2.03e-08
"cg18935449","-0.00016671","5.91e-05",0.00488
"cg18951674","-0.00024217","6.85e-05",0.000423
"cg18959478","-0.00011278","2.94e-05",0.00013
"cg18969162","-0.00026395","5.78e-05",5.63e-06
"cg18993113","0.00039785","9.28e-05",1.98e-05
"cg18993457","-9.04e-05","3.25e-05",0.00551
"cg18997075","-0.00014236","5.1e-05",0.00533
"cg19008371","-0.00078649","8.47e-05",9.14e-20
"cg19011911","-0.00019326","6.08e-05",0.00154
"cg19019345","0.00045433","0.00015857",0.00425
"cg19033780","0.00066548","0.00020511",0.00121
"cg19038246","-0.00035674","0.00010636",0.000824
"cg19044229","0.00014565","4.15e-05",0.00047
"cg19068479","-0.00019188","5.34e-05",0.00034
"cg19074748","-1e-04","3.09e-05",0.00126
"cg19089328","0.00105839","0.00015548",1.67e-11
"cg19090861","-0.00031601","0.00011425",0.00578
"cg19102713","-0.00012897","4.43e-05",0.00371
"cg19111906","-0.00011348","3.92e-05",0.00387
"cg19120389","-7.01e-05","2.02e-05",0.000522
"cg19126910","-0.00028661","0.00010225",0.00516
"cg19130175","0.00037623","8.18e-05",4.77e-06
"cg19137748","-0.00014472","4.84e-05",0.00284
"cg19138905","-0.00015548","5.17e-05",0.00271
"cg19146902","0.00029755","0.00011102",0.00747
"cg19154754","-0.0001601","5.35e-05",0.00282
"cg19157853","-0.00016412","4.99e-05",0.00103
"cg19211915","-0.0003228","0.00011362",0.00458
"cg19216851","-0.00011325","4.14e-05",0.00639
"cg19222366","-0.00022659","7.41e-05",0.00228
"cg19223782","-0.00036674","0.00010223",0.000349
"cg19231742","-0.000115","3.86e-05",0.00294
"cg19237879","-0.00037454","8.7e-05",1.81e-05
"cg19245310","-0.00023905","5.96e-05",6.39e-05
"cg19262958","-0.00014398","5.23e-05",0.00605
"cg19270623","0.00016591","6.05e-05",0.00621
"cg19279310","-0.00042331","8.44e-05",6.27e-07
"cg19297427","-0.0002892","6.84e-05",2.57e-05
"cg19299755","-0.00051184","9.62e-05",1.28e-07
"cg19308663","0.00060763","0.00015629",0.000108
"cg19319487","-0.00053569","0.00011602",4.37e-06
"cg19321739","-7.04e-05","2.35e-05",0.00282
"cg19323901","-0.00026905","7.9e-05",0.000689
"cg19324627","-0.00015239","4.81e-05",0.0016
"cg19333883","0.00074","0.00016686",1.02e-05
"cg19349543","-0.00010444","3.67e-05",0.00456
"cg19356515","0.0005725","0.00012979",1.14e-05
"cg19358520","0.00030193","9.87e-05",0.00228
"cg19372337","-4.98e-05","1.82e-05",0.00647
"cg19375587","-0.00013873","3.36e-05",3.92e-05
"cg19392142","0.00025697","7.53e-05",0.000667
"cg19417024","-0.00023559","6.95e-05",0.000728
"cg19418924","-7.82e-05","2.87e-05",0.00647
"cg19425295","0.00054113","0.00010593",3.86e-07
"cg19433435","0.00085011","0.00013358",2.94e-10
"cg19442415","-0.00089518","9.54e-05",3.85e-20
"cg19458497","0.00035856","9.96e-05",0.000332
"cg19459470","-0.00036744","0.00013073",0.00503
"cg19462635","-0.00105888","0.00019627",8.46e-08
"cg19472759","-7.56e-05","2.57e-05",0.00334
"cg19478820","-0.00026128","8.27e-05",0.00162
"cg19486023","-6.33e-05","2.37e-05",0.00761
"cg19486507","-0.00027586","6.56e-05",2.8e-05
"cg19494188","-0.00013138","3.69e-05",0.000383
"cg19505827","-7.2e-05","2.44e-05",0.0032
"cg19517014","-0.0001142","3.89e-05",0.00342
"cg19521912","-0.00021563","6.85e-05",0.00168
"cg19530217","-0.00012449","4.38e-05",0.0046
"cg19537591","0.00029983","0.00010055",0.00293
"cg19539481","-0.00018935","4.82e-05",9.02e-05
"cg19542403","-0.00016136","5.97e-05",0.00696
"cg19544441","-0.00053753","0.0001088",9.06e-07
"cg19546372","-0.00012865","3.48e-05",0.000228
"cg19553869","-0.00013829","3.4e-05",5.13e-05
"cg19563365","0.00032588","7.98e-05",4.73e-05
"cg19568577","-0.0001265","2.4e-05",1.7e-07
"cg19584547","0.0004415","0.00013599",0.00121
"cg19590900","0.0004254","0.00015197",0.00522
"cg19596755","-0.00030262","6.97e-05",1.57e-05
"cg19598514","-0.00066273","0.00011023",2.52e-09
"cg19605592","-0.00022093","7.65e-05",0.00396
"cg19642168","0.00022806","8.34e-05",0.00632
"cg19645534","0.00075146","0.00010606",2.54e-12
"cg19646538","-0.00023378","5.92e-05",8.45e-05
"cg19655032","-0.00017843","5.65e-05",0.00164
"cg19656799","-0.00027106","8.68e-05",0.00183
"cg19656847","-0.00022555","8.19e-05",0.00599
"cg19657039","0.00028148","8.59e-05",0.00108
"cg19668951","-0.00024253","8.78e-05",0.00583
"cg19670883","-0.0005524","0.00011281",1.13e-06
"cg19677259","0.00035588","7.12e-05",6.8e-07
"cg19692710","0.00038771","7.8e-05",7.89e-07
"cg19692750","-6.18e-05","2.27e-05",0.00666
"cg19694099","-0.00016994","3.51e-05",1.52e-06
"cg19694878","-8.96e-05","3.06e-05",0.00346
"cg19713175","-8.03e-05","2.66e-05",0.00261
"cg19715094","-0.00072055","0.00010998",8.89e-11
"cg19731302","-6.44e-05","2.26e-05",0.00448
"cg19734661","0.00023053","5.98e-05",0.000123
"cg19737664","-0.00014835","4.36e-05",0.000693
"cg19747968","-0.00034473","9.34e-05",0.000236
"cg19750643","0.00029214","0.00010617",0.00603
"cg19753373","-0.00011297","2.66e-05",2.39e-05
"cg19764489","-0.00028398","7.58e-05",0.00019
"cg19768607","-0.00010726","2.65e-05",5.56e-05
"cg19779211","-0.00020835","6.95e-05",0.00277
"cg19779379","-0.0001641","4.89e-05",0.000828
"cg19791714","-0.00041345","0.00010497",8.73e-05
"cg19800926","-0.00012104","3.24e-05",0.000195
"cg19810628","-0.00029359","8.86e-05",0.000949
"cg19812706","-0.00022299","4.98e-05",8.25e-06
"cg19854744","-6.53e-05","2.43e-05",0.00716
"cg19857714","-0.00042785","0.00011051",0.000115
"cg19866040","-0.00032248","8.2e-05",8.97e-05
"cg19873631","-9.25e-05","3.44e-05",0.00729
"cg19881895","0.00021879","5.96e-05",0.000255
"cg19885625","-0.00021904","7.18e-05",0.00233
"cg19896824","-0.00097206","0.0001981",1.07e-06
"cg19915064","-5.93e-05","2.2e-05",0.00724
"cg19917249","-0.0001066","3.29e-05",0.00125
"cg19917412","-0.00047175","0.00014401",0.00109
"cg19917565","0.00028012","7.01e-05",6.94e-05
"cg19919209","-0.00024345","8.89e-05",0.00626
"cg19936731","-7.9e-05","2.68e-05",0.00332
"cg19951269","-0.00013971","4.94e-05",0.00477
"cg19964761","-0.00025103","7.38e-05",0.000695
"cg19972312","-0.00013317","4.32e-05",0.00211
"cg19975933","-0.00010354","3.3e-05",0.00173
"cg19979370","0.0005059","8.57e-05",4.83e-09
"cg19984199","-0.00010844","3.99e-05",0.00664
"cg19988577","-0.00016194","4.73e-05",0.00064
"cg19998151","-0.00034852","9.31e-05",0.000193
"cg20001829","-0.00019918","4.25e-05",3.18e-06
"cg20009097","0.00036679","0.00010074",0.000285
"cg20012366","0.00040271","6.92e-05",7.94e-09
"cg20015011","-0.00039744","8.18e-05",1.36e-06
"cg20022862","-0.00013205","4.33e-05",0.00233
"cg20029347","-0.00010033","2.95e-05",0.000703
"cg20045320","-0.00048901","0.00010361",2.68e-06
"cg20051530","-0.00024529","7e-05",0.00048
"cg20051715","0.00038161","8.54e-05",8.66e-06
"cg20092728","-0.00023091","7.85e-05",0.00336
"cg20092736","-0.00042132","0.00011844",0.000392
"cg20093992","0.00012546","4.03e-05",0.00189
"cg20100049","-0.00058486","0.0001191",1.05e-06
"cg20101110","0.00045769","0.00011369",6.09e-05
"cg20118840","0.00039616","0.00012416",0.00146
"cg20119495","-0.00012755","3.36e-05",0.000153
"cg20122470","-9.63e-05","2.81e-05",0.000646
"cg20124223","0.00039786","0.00011513",0.000571
"cg20132549","-0.00028661","0.00010648",0.00722
"cg20137312","-7.1e-05","1.86e-05",0.000142
"cg20139338","-0.00011596","2.6e-05",8.98e-06
"cg20143092","0.00013518","4.01e-05",0.000772
"cg20144359","-0.00022526","6.83e-05",0.00101
"cg20149625","-0.00021987","4.92e-05",8.81e-06
"cg20152152","-6.73e-05","2.37e-05",0.00455
"cg20156080","-0.00010764","3.34e-05",0.00129
"cg20165655","-0.00014433","2.86e-05",5.51e-07
"cg20171011","-9.69e-05","3.44e-05",0.0049
"cg20179942","-0.00013726","3.8e-05",0.000317
"cg20184045","-0.00010141","2.22e-05",5.57e-06
"cg20191922","0.0004553","0.00010637",2.04e-05
"cg20192997","-0.00027697","8.7e-05",0.00151
"cg20199333","-0.00011974","4.12e-05",0.00372
"cg20204701","-9.01e-05","3.38e-05",0.00774
"cg20208523","-8.81e-05","2.24e-05",9.19e-05
"cg20221020","-0.00018187","4.81e-05",0.000163
"cg20225915","-0.00037414","0.00011132",0.000805
"cg20234060","-0.00043556","5.16e-05",1.07e-16
"cg20234170","-0.00035125","5.25e-05",3.56e-11
"cg20256574","-9.09e-05","3.25e-05",0.00532
"cg20272935","-0.00043129","6.92e-05",6.74e-10
"cg20275558","-0.00037778","0.00012807",0.00325
"cg20299572","-0.00051206","0.00010046",4.08e-07
"cg20320472","-0.0004694","0.00010489",8.46e-06
"cg20321801","0.0004814","7.27e-05",5.76e-11
"cg20324356","-0.00035013","5.1e-05",1.11e-11
"cg20325560","-0.00015509","5.19e-05",0.00285
"cg20341535","-0.00037753","5.97e-05",3.75e-10
"cg20344434","-0.00011567","3.62e-05",0.00143
"cg20358275","-0.00018333","5.82e-05",0.00167
"cg20359360","0.00024014","5.85e-05",4.38e-05
"cg20363586","-0.00028081","7.68e-05",0.000271
"cg20368818","0.0008689","0.00018731",3.95e-06
"cg20373012","0.0002365","7.52e-05",0.0017
"cg20374917","-0.00028414","9.18e-05",0.00201
"cg20376082","-0.00017312","5.27e-05",0.00104
"cg20383794","-0.00012755","3.74e-05",0.000667
"cg20422511","-0.00011987","4.15e-05",0.00394
"cg20436478","-0.00013133","4.39e-05",0.00285
"cg20444218","-0.00023313","4.87e-05",1.91e-06
"cg20449659","0.00028608","0.00010039",0.00446
"cg20451986","0.00062798","0.00016826",2e-04
"cg20483374","0.00020643","7.41e-05",0.00546
"cg20484322","-9.13e-05","3.08e-05",0.00306
"cg20494635","-0.00070698","0.00010092",4.39e-12
"cg20495962","-0.00015349","4.9e-05",0.00179
"cg20511089","-0.00021638","5.1e-05",2.42e-05
"cg20512519","-0.00010184","2.79e-05",0.000275
"cg20529923","-0.00037602","0.00010052",0.000193
"cg20550458","-0.00030527","7.34e-05",3.48e-05
"cg20563278","-0.00024425","7.43e-05",0.00105
"cg20566897","-0.00050487","0.00010805",3.36e-06
"cg20567067","-0.00018257","5.28e-05",0.000562
"cg20596329","-7.72e-05","2.71e-05",0.0045
"cg20608085","0.00058062","8.51e-05",1.52e-11
"cg20637081","0.00094187","0.00018413",3.72e-07
"cg20645973","-0.00022893","7.59e-05",0.00262
"cg20660011","-6.85e-05","2.56e-05",0.00749
"cg20666386","-0.00025057","4.6e-05",6.22e-08
"cg20687940","-0.00018681","4.7e-05",7.51e-05
"cg20689362","-0.00014291","5.15e-05",0.00559
"cg20691428","-0.00014208","4.03e-05",0.000436
"cg20693209","9.03e-05","2.85e-05",0.00157
"cg20708135","0.00039905","9.79e-05",4.97e-05
"cg20713639","-0.00019748","3.8e-05",2.49e-07
"cg20714487","-0.00024914","4.19e-05",3.78e-09
"cg20715326","-7.65e-05","2.79e-05",0.0062
"cg20731136","-0.00026764","9.8e-05",0.00641
"cg20736321","-0.00017776","5.85e-05",0.00245
"cg20741987","-5.49e-05","1.9e-05",0.00391
"cg20748955","-0.00013192","3.94e-05",0.000842
"cg20749584","-0.00023087","5.26e-05",1.23e-05
"cg20751395","-0.00013641","4.6e-05",0.00312
"cg20752695","-0.00028264","8.67e-05",0.00115
"cg20757532","-0.00020896","7.58e-05",0.00593
"cg20771332","-0.00016609","5.15e-05",0.0013
"cg20781238","-0.00015256","3.43e-05",9.62e-06
"cg20785459","0.00035251","8.67e-05",5.16e-05
"cg20813589","-0.00036918","0.00013072",0.00483
"cg20815992","0.00041459","0.00011217",0.00023
"cg20816889","-6.55e-05","2.32e-05",0.00487
"cg20846508","-0.00054985","0.00013951",8.64e-05
"cg20847018","-0.0002735","9e-05",0.00244
"cg20864214","0.00081382","0.00016941",1.78e-06
"cg20865778","0.00046812","6.09e-05",3.36e-14
"cg20877443","-0.00034573","0.00011587",0.00291
"cg20889322","-0.00094668","0.00011357",2.39e-16
"cg20911165","-0.00021354","5.22e-05",4.62e-05
"cg20911180","-0.00074007","0.00011465",1.65e-10
"cg20912066","-0.00012795","2.98e-05",1.9e-05
"cg20930815","0.00029999","7.72e-05",0.000107
"cg20954737","-0.00017488","6.08e-05",0.0041
"cg20957428","-0.0003525","5.9e-05",3.22e-09
"cg20958804","0.00043346","0.00013018",0.000899
"cg20968595","-0.00018727","5.91e-05",0.00158
"cg20972199","-0.00015577","2.68e-05",8.33e-09
"cg20982011","-0.00045072","0.00010394",1.59e-05
"cg20987132","-0.00015316","3.92e-05",0.000101
"cg20989480","-0.00028338","9.39e-05",0.00262
"cg20998200","-0.00034964","0.00011999",0.00364
"cg21002651","-0.00027691","5.89e-05",2.91e-06
"cg21009265","0.00027155","7e-05",0.000112
"cg21009935","-8.39e-05","3e-05",0.00526
"cg21030424","-0.00014663","4.78e-05",0.00222
"cg21038795","-0.00032449","0.00011507",0.0049
"cg21049762","-0.00010259","3.75e-05",0.00632
"cg21051972","0.00033119","0.00010841",0.00231
"cg21052403","-0.0004542","0.00011866",0.000137
"cg21052656","-0.00037301","0.00011397",0.0011
"cg21052766","-0.00030323","0.00010302",0.00332
"cg21058488","0.00076003","0.00011398",4.17e-11
"cg21067465","-0.00041166","8.74e-05",2.78e-06
"cg21071117","-0.00031535","0.00011365",0.00562
"cg21089930","-0.00077919","0.00022555",0.000573
"cg21096399","-0.00010663","3.31e-05",0.0013
"cg21108085","0.00023091","6.63e-05",0.000514
"cg21111471","-0.00020592","7.03e-05",0.00349
"cg21116783","-7.51e-05","2.07e-05",0.000291
"cg21117426","-0.00028771","7.1e-05",5.45e-05
"cg21160842","0.00073803","0.00017548",2.82e-05
"cg21169203","-9.38e-05","3.12e-05",0.00272
"cg21170682","0.00039751","9.93e-05",6.67e-05
"cg21190595","-0.00036245","9.98e-05",0.000295
"cg21191255","-0.00028622","0.00010107",0.00471
"cg21194066","-0.00038266","8.85e-05",1.69e-05
"cg21197905","-0.00013479","3.4e-05",7.7e-05
"cg21203569","-0.0003598","0.00010804",0.000898
"cg21205288","-0.00011759","3.84e-05",0.00226
"cg21211321","-0.00022075","7.9e-05",0.0053
"cg21293464","-0.00031353","7.97e-05",8.87e-05
"cg21296602","-0.00026188","8.78e-05",0.00292
"cg21323244","-9.21e-05","3.28e-05",0.00508
"cg21415227","-0.00054126","7.08e-05",4.72e-14
"cg21424090","-0.00032823","7.95e-05",3.94e-05
"cg21481662","-7.43e-05","2.58e-05",0.00397
"cg21511748","-0.00031227","0.00010314",0.00252
"cg21517436","-6.01e-05","2.19e-05",0.00618
"cg21518947","-0.00031316","8.85e-05",0.000423
"cg21533830","-0.00012645","3.62e-05",0.000495
"cg21533897","-0.00026419","6.05e-05",1.39e-05
"cg21548340","0.00080238","0.00011444",4.21e-12
"cg21560076","0.00055402","0.00013504",4.4e-05
"cg21592241","0.00010297","2.78e-05",0.000218
"cg21599336","0.00052031","7.88e-05",6.4e-11
"cg21620540","0.00034981","0.00010807",0.00125
"cg21637776","-0.00019043","6.2e-05",0.00218
"cg21645554","0.00039453","7.71e-05",3.69e-07
"cg21659910","-0.00017513","6.55e-05",0.00758
"cg21660623","-0.00026896","6.05e-05",9.82e-06
"cg21663341","-0.00010173","2.81e-05",0.000311
"cg21669371","-0.00019518","5.73e-05",0.000685
"cg21671607","-0.00047957","0.00011118",1.76e-05
"cg21677594","-0.00015957","4.31e-05",0.000226
"cg21689902","-0.0004092","0.00010235",6.83e-05
"cg21695395","-0.0005351","0.00011937",8.18e-06
"cg21700293","-0.00018596","5.62e-05",0.000962
"cg21703322","-0.00021108","6.66e-05",0.00158
"cg21704109","0.00031156","9.72e-05",0.00139
"cg21720306","-0.00022399","7.91e-05",0.00473
"cg21720802","0.00048928","9.8e-05",7.05e-07
"cg21728792","-0.00019532","6.27e-05",0.00188
"cg21735491","-0.00020743","5.37e-05",0.00012
"cg21747271","-0.00027919","9.29e-05",0.00273
"cg21756806","-0.00024576","8.73e-05",0.00497
"cg21769619","-0.00027724","6.89e-05",6.12e-05
"cg21786381","0.00024954","8.04e-05",0.00196
"cg21799346","-8.32e-05","3e-05",0.00562
"cg21808881","-0.00010838","3.98e-05",0.00659
"cg21832447","-0.0001602","5.52e-05",0.00377
"cg21844144","0.00122402","0.00016967",1.04e-12
"cg21849661","-0.00012082","4.12e-05",0.00347
"cg21871465","-9.45e-05","3.06e-05",0.0021
"cg21920570","-0.00038864","7.81e-05",7.64e-07
"cg21926276","-0.00021256","6.24e-05",0.000688
"cg21927426","-0.00051286","0.00011053",3.92e-06
"cg21931656","-0.00022704","3.63e-05",5.89e-10
"cg21939215","-0.00010544","2.69e-05",9.43e-05
"cg21968515","-7.47e-05","2.48e-05",0.00264
"cg21970326","-0.00012131","4.46e-05",0.0067
"cg21986781","-0.00012865","3.39e-05",0.000153
"cg21994822","-0.00049867","0.00011398",1.33e-05
"cg21995261","-0.000262","6.08e-05",1.8e-05
"cg21996245","-0.00043314","0.00016204",0.00763
"cg21999471","-0.0006817","0.00017522",0.000106
"cg22017309","-0.00017973","5.4e-05",0.00091
"cg22022957","0.00056356","0.00014547",0.000114
"cg22032521","-6.82e-05","2.36e-05",0.00386
"cg22033281","0.0004441","9.93e-05",8.65e-06
"cg22052720","-0.00028464","7.56e-05",0.000175
"cg22063720","-0.00013665","3.45e-05",7.94e-05
"cg22107164","-0.00013755","4.12e-05",0.000866
"cg22110998","0.00023859","6.79e-05",0.000463
"cg22117805","-0.00325206","0.00024548",3.69e-37
"cg22133366","-0.00017967","5.14e-05",0.000497
"cg22136363","-0.00050196","0.00015709",0.00144
"cg22151881","-0.00042918","0.00010048",2.12e-05
"cg22170528","-0.00012662","3.52e-05",0.000334
"cg22173131","0.00020406","7.17e-05",0.00452
"cg22187354","-0.00017316","6.34e-05",0.00638
"cg22194396","0.0001803","6.66e-05",0.00693
"cg22219450","0.00030431","0.00010386",0.00346
"cg22235873","-8.63e-05","2.96e-05",0.00361
"cg22258538","-0.00030953","9.48e-05",0.00114
"cg22271905","-0.00031601","9.43e-05",0.000836
"cg22272956","-7.01e-05","2.48e-05",0.00477
"cg22282265","-0.00016546","5.46e-05",0.0025
"cg22289115","0.0002971","6.22e-05",2.04e-06
"cg22291084","-0.00027133","7.35e-05",0.000235
"cg22306015","-0.00015232","3.56e-05",2.04e-05
"cg22321327","-0.00035378","0.00010602",0.000876
"cg22327175","-0.00049247","0.00010482",2.97e-06
"cg22330021","-0.00018636","6.7e-05",0.00551
"cg22331032","-0.00036684","8.36e-05",1.25e-05
"cg22335223","-0.00076008","0.00011878",2.35e-10
"cg22345428","-8.83e-05","2.59e-05",0.000682
"cg22348001","-0.00011873","4.05e-05",0.00344
"cg22348345","-0.00011051","4.12e-05",0.00738
"cg22364204","-0.00010463","3.22e-05",0.00119
"cg22365167","-0.00110609","7.24e-05",1.1e-47
"cg22368545","-0.00015676","5.25e-05",0.00287
"cg22373225","-7.08e-05","1.78e-05",7.71e-05
"cg22376822","-0.00018877","5.05e-05",0.000193
"cg22386442","-0.00019975","6.23e-05",0.00139
"cg22397625","-0.0001152","3.78e-05",0.00238
"cg22417398","-0.00047298","7.21e-05",8.54e-11
"cg22424444","0.00028856","9.49e-05",0.00242
"cg22484980","0.00025193","6.37e-05",8.25e-05
"cg22527280","-8.28e-05","2.76e-05",0.00278
"cg22533573","-0.0001304","3.54e-05",0.000239
"cg22578610","-0.00011354","3.52e-05",0.00129
"cg22637428","-0.00011774","2.79e-05",2.71e-05
"cg22652406","-0.00011191","2.68e-05",3.2e-05
"cg22653345","-0.00010109","3.3e-05",0.00223
"cg22675791","-6.05e-05","1.83e-05",0.001
"cg22680424","-0.00042841","9.2e-05",3.59e-06
"cg22685903","-0.00015658","4.56e-05",0.000618
"cg22697239","-0.00011135","4.02e-05",0.0057
"cg22705929","0.00028879","9.67e-05",0.0029
"cg22707381","-0.00028451","8.8e-05",0.00126
"cg22718031","-0.00026192","8.84e-05",0.00312
"cg22719871","-0.00018042","5.85e-05",0.00208
"cg22719992","-0.00039986","0.00011967",0.000863
"cg22734165","-0.00035705","8.11e-05",1.17e-05
"cg22740006","-6.99e-05","2.6e-05",0.00732
"cg22747142","-0.00021919","6.68e-05",0.00107
"cg22752869","-7.35e-05","2.21e-05",0.000928
"cg22755534","0.00057036","0.00014732",0.000115
"cg22761205","-0.0015939","0.00012295",9.22e-36
"cg22768358","0.00040778","7.21e-05",2.03e-08
"cg22784836","-0.00026786","9.85e-05",0.00662
"cg22791976","-7.54e-05","2.81e-05",0.00742
"cg22801913","-0.00029658","5.48e-05",7.91e-08
"cg22805485","0.00066874","0.00013947",1.86e-06
"cg22843803","-0.00066254","0.00010662",7.42e-10
"cg22854223","-0.00079068","7.18e-05",8.73e-27
"cg22855325","-0.00018787","5.99e-05",0.00176
"cg22869366","-6.44e-05","2.19e-05",0.00341
"cg22885062","-0.00010715","3.25e-05",0.001
"cg22897141","-0.00028741","0.00010674",0.0072
"cg22897715","-0.0002414","5.87e-05",4.24e-05
"cg22907103","-0.00028434","8.7e-05",0.00111
"cg22908616","0.00021948","6.21e-05",0.000427
"cg22932313","-0.0001093","3.01e-05",0.000291
"cg22933449","-0.00015069","5.54e-05",0.00661
"cg22933847","-0.00021563","7.87e-05",0.00622
"cg22937632","-0.00022331","7.59e-05",0.00333
"cg22948808","-0.00038064","8.79e-05",1.64e-05
"cg22958118","0.00046386","0.00012469",0.00021
"cg22962883","-0.00053031","0.00012059",1.21e-05
"cg22964469","-0.00092809","8.21e-05",4.99e-28
"cg22974215","-0.00023064","6.89e-05",0.000849
"cg22986597","-0.00055856","9.61e-05",8.19e-09
"cg22996783","-0.00026535","8.79e-05",0.0026
"cg23008762","-0.00012078","3.89e-05",0.00196
"cg23009046","-8.26e-05","2.42e-05",0.000659
"cg23009441","-0.0002914","9.54e-05",0.00232
"cg23034799","-0.00016159","5.94e-05",0.00664
"cg23037644","-0.00012525","4.29e-05",0.00356
"cg23039189","-0.00010998","3.01e-05",0.000267
"cg23044178","0.00063899","0.00015604",4.55e-05
"cg23049234","-8.89e-05","3.15e-05",0.00493
"cg23051559","0.00028023","7.28e-05",0.000125
"cg23056713","-0.00013995","4.82e-05",0.00379
"cg23090607","-0.00018165","4.18e-05",1.5e-05
"cg23130075","-0.00048027","0.00015283",0.00172
"cg23132327","-0.00018103","6.73e-05",0.00725
"cg23135908","0.00060085","0.00014572",4.03e-05
"cg23152931","-0.00014822","3.65e-05",5.37e-05
"cg23162201","-0.00057732","8.29e-05",5.74e-12
"cg23173301","-0.00014396","4.46e-05",0.00129
"cg23185657","-0.00014204","4.43e-05",0.00137
"cg23186952","-0.00011225","4.15e-05",0.00697
"cg23190190","-0.0001548","4.46e-05",0.000533
